#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Thu Mar 14 00:42:36 2024
# Process ID: 41358
# Current directory: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc
# Command line: xsim -mode tcl -source {xsim.dir/tb_fsic_xelab/xsim_script.tcl}
# Log file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.log
# Journal file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.jou
# Running On: roy-VirtualBox, OS: Linux, CPU Frequency: 2999.996 MHz, CPU Physical cores: 2, Host memory: 10425 MB
#-----------------------------------------------------------
source xsim.dir/tb_fsic_xelab/xsim_script.tcl
# xsim {tb_fsic_xelab} -autoloadwcfg -tclbatch {log_wave.tcl}
Time resolution is 1 ps
open_wave_config /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/tb_fsic_xelab.wcfg
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_next_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_widthIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_heightIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_sw_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_rst was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
source log_wave.tcl
## log_wave -quiet -verbose -recursive *
## run all
Test#1: FIR initialization from SOC side
fsci_system_initial: TX/RX test
LENGTH =        600
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       481] = 0000ffffecb3, soc_to_fpga_axis_captured[       481] = xxxXffffecb3
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       482] = 0000ffffebfc, soc_to_fpga_axis_captured[       482] = xxxXffffebfc
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       483] = 0000ffffeb45, soc_to_fpga_axis_captured[       483] = xxxXffffeb45
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       484] = 0000ffffea8e, soc_to_fpga_axis_captured[       484] = xxxXffffea8e
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       485] = 0000ffffe9d7, soc_to_fpga_axis_captured[       485] = xxxXffffe9d7
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       486] = 0000ffffe920, soc_to_fpga_axis_captured[       486] = xxxXffffe920
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       487] = 0000ffffe869, soc_to_fpga_axis_captured[       487] = xxxXffffe869
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       488] = 0000ffffe7b2, soc_to_fpga_axis_captured[       488] = xxxXffffe7b2
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       489] = 0000ffffe6fb, soc_to_fpga_axis_captured[       489] = xxxXffffe6fb
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       490] = 0000ffffe644, soc_to_fpga_axis_captured[       490] = xxxXffffe644
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       491] = 0000ffffe58d, soc_to_fpga_axis_captured[       491] = xxxXffffe58d
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       492] = 0000ffffe4d6, soc_to_fpga_axis_captured[       492] = xxxXffffe4d6
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       493] = 0000ffffe41f, soc_to_fpga_axis_captured[       493] = xxxXffffe41f
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       494] = 0000ffffe368, soc_to_fpga_axis_captured[       494] = xxxXffffe368
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       495] = 0000ffffe2b1, soc_to_fpga_axis_captured[       495] = xxxXffffe2b1
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       496] = 0000ffffe1fa, soc_to_fpga_axis_captured[       496] = xxxXffffe1fa
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       497] = 0000ffffe143, soc_to_fpga_axis_captured[       497] = xxxXffffe143
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       498] = 0000ffffe08c, soc_to_fpga_axis_captured[       498] = xxxXffffe08c
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       499] = 0000ffffdfd5, soc_to_fpga_axis_captured[       499] = xxxXffffdfd5
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       500] = 0000ffffdf1e, soc_to_fpga_axis_captured[       500] = xxxXffffdf1e
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       501] = 0000ffffde67, soc_to_fpga_axis_captured[       501] = xxxXffffde67
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       502] = 0000ffffddb0, soc_to_fpga_axis_captured[       502] = xxxXffffddb0
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       503] = 0000ffffdcf9, soc_to_fpga_axis_captured[       503] = xxxXffffdcf9
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       504] = 0000ffffdc42, soc_to_fpga_axis_captured[       504] = xxxXffffdc42
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       505] = 0000ffffdb8b, soc_to_fpga_axis_captured[       505] = xxxXffffdb8b
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       506] = 0000ffffdad4, soc_to_fpga_axis_captured[       506] = xxxXffffdad4
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       507] = 0000ffffda1d, soc_to_fpga_axis_captured[       507] = xxxXffffda1d
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       508] = 0000ffffd966, soc_to_fpga_axis_captured[       508] = xxxXffffd966
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       509] = 0000ffffd8af, soc_to_fpga_axis_captured[       509] = xxxXffffd8af
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       510] = 0000ffffd7f8, soc_to_fpga_axis_captured[       510] = xxxXffffd7f8
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       511] = 0000ffffd741, soc_to_fpga_axis_captured[       511] = xxxXffffd741
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       512] = 0000ffffd68a, soc_to_fpga_axis_captured[       512] = xxxXffffd68a
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       513] = 0000ffffd5d3, soc_to_fpga_axis_captured[       513] = xxxXffffd5d3
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       514] = 0000ffffd51c, soc_to_fpga_axis_captured[       514] = xxxXffffd51c
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       515] = 0000ffffd465, soc_to_fpga_axis_captured[       515] = xxxXffffd465
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       516] = 0000ffffd3ae, soc_to_fpga_axis_captured[       516] = xxxXffffd3ae
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       517] = 0000ffffd2f7, soc_to_fpga_axis_captured[       517] = xxxXffffd2f7
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       518] = 0000ffffd240, soc_to_fpga_axis_captured[       518] = xxxXffffd240
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       519] = 0000ffffd189, soc_to_fpga_axis_captured[       519] = xxxXffffd189
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       520] = 0000ffffd0d2, soc_to_fpga_axis_captured[       520] = xxxXffffd0d2
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       521] = 0000ffffd01b, soc_to_fpga_axis_captured[       521] = xxxXffffd01b
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       522] = 0000ffffcf64, soc_to_fpga_axis_captured[       522] = xxxXffffcf64
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       523] = 0000ffffcead, soc_to_fpga_axis_captured[       523] = xxxXffffcead
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       524] = 0000ffffcdf6, soc_to_fpga_axis_captured[       524] = xxxXffffcdf6
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       525] = 0000ffffcd3f, soc_to_fpga_axis_captured[       525] = xxxXffffcd3f
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       526] = 0000ffffcc74, soc_to_fpga_axis_captured[       526] = xxxXffffcc74
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       527] = 0000ffffcb97, soc_to_fpga_axis_captured[       527] = xxxXffffcb97
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       528] = 0000ffffcae8, soc_to_fpga_axis_captured[       528] = xxxXffffcae8
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       529] = 0000ffffcaa9, soc_to_fpga_axis_captured[       529] = xxxXffffcaa9
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       530] = 0000ffffcae8, soc_to_fpga_axis_captured[       530] = xxxXffffcae8
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       531] = 0000ffffcb97, soc_to_fpga_axis_captured[       531] = xxxXffffcb97
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       532] = 0000ffffcc74, soc_to_fpga_axis_captured[       532] = xxxXffffcc74
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       533] = 0000ffffcd3f, soc_to_fpga_axis_captured[       533] = xxxXffffcd3f
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       534] = 0000ffffcdf6, soc_to_fpga_axis_captured[       534] = xxxXffffcdf6
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       535] = 0000ffffcead, soc_to_fpga_axis_captured[       535] = xxxXffffcead
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       536] = 0000ffffcf64, soc_to_fpga_axis_captured[       536] = xxxXffffcf64
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       537] = 0000ffffd01b, soc_to_fpga_axis_captured[       537] = xxxXffffd01b
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       538] = 0000ffffd0d2, soc_to_fpga_axis_captured[       538] = xxxXffffd0d2
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       539] = 0000ffffd189, soc_to_fpga_axis_captured[       539] = xxxXffffd189
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       540] = 0000ffffd240, soc_to_fpga_axis_captured[       540] = xxxXffffd240
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       541] = 0000ffffd2f7, soc_to_fpga_axis_captured[       541] = xxxXffffd2f7
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       542] = 0000ffffd3ae, soc_to_fpga_axis_captured[       542] = xxxXffffd3ae
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       543] = 0000ffffd465, soc_to_fpga_axis_captured[       543] = xxxXffffd465
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       544] = 0000ffffd51c, soc_to_fpga_axis_captured[       544] = xxxXffffd51c
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       545] = 0000ffffd5d3, soc_to_fpga_axis_captured[       545] = xxxXffffd5d3
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       546] = 0000ffffd68a, soc_to_fpga_axis_captured[       546] = xxxXffffd68a
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       547] = 0000ffffd741, soc_to_fpga_axis_captured[       547] = xxxXffffd741
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       548] = 0000ffffd7f8, soc_to_fpga_axis_captured[       548] = xxxXffffd7f8
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       549] = 0000ffffd8af, soc_to_fpga_axis_captured[       549] = xxxXffffd8af
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       550] = 0000ffffd966, soc_to_fpga_axis_captured[       550] = xxxXffffd966
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       551] = 0000ffffda1d, soc_to_fpga_axis_captured[       551] = xxxXffffda1d
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       552] = 0000ffffdad4, soc_to_fpga_axis_captured[       552] = xxxXffffdad4
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       553] = 0000ffffdb8b, soc_to_fpga_axis_captured[       553] = xxxXffffdb8b
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       554] = 0000ffffdc42, soc_to_fpga_axis_captured[       554] = xxxXffffdc42
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       555] = 0000ffffdcf9, soc_to_fpga_axis_captured[       555] = xxxXffffdcf9
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       556] = 0000ffffddb0, soc_to_fpga_axis_captured[       556] = xxxXffffddb0
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       557] = 0000ffffde67, soc_to_fpga_axis_captured[       557] = xxxXffffde67
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       558] = 0000ffffdf1e, soc_to_fpga_axis_captured[       558] = xxxXffffdf1e
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       559] = 0000ffffdfd5, soc_to_fpga_axis_captured[       559] = xxxXffffdfd5
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       560] = 0000ffffe08c, soc_to_fpga_axis_captured[       560] = xxxXffffe08c
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       561] = 0000ffffe143, soc_to_fpga_axis_captured[       561] = xxxXffffe143
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       562] = 0000ffffe1fa, soc_to_fpga_axis_captured[       562] = xxxXffffe1fa
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       563] = 0000ffffe2b1, soc_to_fpga_axis_captured[       563] = xxxXffffe2b1
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       564] = 0000ffffe368, soc_to_fpga_axis_captured[       564] = xxxXffffe368
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       565] = 0000ffffe41f, soc_to_fpga_axis_captured[       565] = xxxXffffe41f
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       566] = 0000ffffe4d6, soc_to_fpga_axis_captured[       566] = xxxXffffe4d6
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       567] = 0000ffffe58d, soc_to_fpga_axis_captured[       567] = xxxXffffe58d
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       568] = 0000ffffe644, soc_to_fpga_axis_captured[       568] = xxxXffffe644
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       569] = 0000ffffe6fb, soc_to_fpga_axis_captured[       569] = xxxXffffe6fb
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       570] = 0000ffffe7b2, soc_to_fpga_axis_captured[       570] = xxxXffffe7b2
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       571] = 0000ffffe869, soc_to_fpga_axis_captured[       571] = xxxXffffe869
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       572] = 0000ffffe920, soc_to_fpga_axis_captured[       572] = xxxXffffe920
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       573] = 0000ffffe9d7, soc_to_fpga_axis_captured[       573] = xxxXffffe9d7
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       574] = 0000ffffea8e, soc_to_fpga_axis_captured[       574] = xxxXffffea8e
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       575] = 0000ffffeb45, soc_to_fpga_axis_captured[       575] = xxxXffffeb45
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       576] = 0000ffffebfc, soc_to_fpga_axis_captured[       576] = xxxXffffebfc
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       577] = 0000ffffecb3, soc_to_fpga_axis_captured[       577] = xxxXffffecb3
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       578] = 0000ffffed6a, soc_to_fpga_axis_captured[       578] = xxxXffffed6a
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       579] = 0000ffffee21, soc_to_fpga_axis_captured[       579] = xxxXffffee21
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       580] = 0000ffffeed8, soc_to_fpga_axis_captured[       580] = xxxXffffeed8
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       581] = 0000ffffef8f, soc_to_fpga_axis_captured[       581] = xxxXffffef8f
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       582] = 0000fffff046, soc_to_fpga_axis_captured[       582] = xxxXfffff046
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       583] = 0000fffff0fd, soc_to_fpga_axis_captured[       583] = xxxXfffff0fd
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       584] = 0000fffff1b4, soc_to_fpga_axis_captured[       584] = xxxXfffff1b4
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       585] = 0000fffff26b, soc_to_fpga_axis_captured[       585] = xxxXfffff26b
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       586] = 0000fffff322, soc_to_fpga_axis_captured[       586] = xxxXfffff322
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       587] = 0000fffff3d9, soc_to_fpga_axis_captured[       587] = xxxXfffff3d9
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       588] = 0000fffff490, soc_to_fpga_axis_captured[       588] = xxxXfffff490
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       589] = 0000fffff547, soc_to_fpga_axis_captured[       589] = xxxXfffff547
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       590] = 0000fffff5fe, soc_to_fpga_axis_captured[       590] = xxxXfffff5fe
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       591] = 0000fffff6b5, soc_to_fpga_axis_captured[       591] = xxxXfffff6b5
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       592] = 0000fffff76c, soc_to_fpga_axis_captured[       592] = xxxXfffff76c
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       593] = 0000fffff823, soc_to_fpga_axis_captured[       593] = xxxXfffff823
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       594] = 0000fffff8da, soc_to_fpga_axis_captured[       594] = xxxXfffff8da
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       595] = 0000fffff991, soc_to_fpga_axis_captured[       595] = xxxXfffff991
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       596] = 0000fffffa48, soc_to_fpga_axis_captured[       596] = xxxXfffffa48
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       597] = 0000fffffaff, soc_to_fpga_axis_captured[       597] = xxxXfffffaff
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       598] = 0000fffffbb6, soc_to_fpga_axis_captured[       598] = xxxXfffffbb6
              347345=> test 1 [PASS] soc_to_fpga_axis_expect_value[       599] = 0401fffffc6d, soc_to_fpga_axis_captured[       599] = xxxXfffffc6d
test1: stream_FIR_data -end
=============================================================================================
              347445=> Test# 1 result [PASS], check_cnt = 0600, error_cnt = 0000
=============================================================================================
Test#2: FIR initialization from FPGA side
fsci_system_initial: TX/RX test
              347485=> soc POR Assert
              347485=> fpga POR Assert
              347485=> fpga reset Assert
              347525=> soc POR De-Assert
              347525=> fpga POR De-Assert
              347565=> fpga reset De-Assert
              347625=> fpga_as_to_is_init done
              347665=> fpga_cfg_write : fpga_axi_awaddr=0000, fpga_axi_awvalid=1, fpga_axi_awready=1, fpga_axi_wdata=00000001, axi_wstrb=1, fpga_axi_wvalid=1, fpga_axi_wready=1
              347865=> soc_is_cfg_write : wbs_adr=30003000, wbs_sel=0001, wbs_wdata=00000001
              347865=> soc rxen_ctl=1
              347865=> fpga rxen_ctl=1
              348305=> fpga_cfg_write : fpga_axi_awaddr=0000, fpga_axi_awvalid=1, fpga_axi_awready=1, fpga_axi_wdata=00000003, axi_wstrb=1, fpga_axi_wvalid=1, fpga_axi_wready=1
              348465=> soc_is_cfg_write : wbs_adr=30003000, wbs_sel=0001, wbs_wdata=00000003
              348465=> soc txen_ctl=1
              348465=> fpga txen_ctl=1
              349105=> soc_up_selection_write : wbs_adr=30005000, wbs_sel=1111, wbs_wdata=00000001
              349105=> fpga_axilite_read_req in address req phase = 00000000 - tvalid
              349145=> fpga_axilite_read_req in address req phase = 00000000 - transfer
              349225=> fpga_axilite_write_req in address phase = f0000020 - tvalid
              349265=> fpga_axilite_write_req in address phase = f0000020 - transfer
              349265=> fpga_axilite_write_req in data phase = 00000000 - tvalid
              349305=> fpga_axilite_write_req in data phase = 00000000 - transfer
              350105=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =xxxxxxxx, fpga_is_as_tdata=00000004
              350105=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =00000004, fpga_is_as_tdata=00000004
              350105=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              353385=> fpga_axilite_write_req in address phase = f0000024 - tvalid
              353425=> fpga_axilite_write_req in address phase = f0000024 - transfer
              353425=> fpga_axilite_write_req in data phase = fffffff6 - tvalid
              353465=> fpga_axilite_write_req in data phase = fffffff6 - transfer
              357545=> fpga_axilite_write_req in address phase = f0000028 - tvalid
              357585=> fpga_axilite_write_req in address phase = f0000028 - transfer
              357585=> fpga_axilite_write_req in data phase = fffffff7 - tvalid
              357625=> fpga_axilite_write_req in data phase = fffffff7 - transfer
              361705=> fpga_axilite_write_req in address phase = f000002c - tvalid
              361745=> fpga_axilite_write_req in address phase = f000002c - transfer
              361745=> fpga_axilite_write_req in data phase = 00000017 - tvalid
              361785=> fpga_axilite_write_req in data phase = 00000017 - transfer
              365865=> fpga_axilite_write_req in address phase = f0000030 - tvalid
              365905=> fpga_axilite_write_req in address phase = f0000030 - transfer
              365905=> fpga_axilite_write_req in data phase = 00000038 - tvalid
              365945=> fpga_axilite_write_req in data phase = 00000038 - transfer
              370025=> fpga_axilite_write_req in address phase = f0000034 - tvalid
              370065=> fpga_axilite_write_req in address phase = f0000034 - transfer
              370065=> fpga_axilite_write_req in data phase = 0000003f - tvalid
              370105=> fpga_axilite_write_req in data phase = 0000003f - transfer
              374185=> fpga_axilite_write_req in address phase = f0000038 - tvalid
              374225=> fpga_axilite_write_req in address phase = f0000038 - transfer
              374225=> fpga_axilite_write_req in data phase = 00000038 - tvalid
              374265=> fpga_axilite_write_req in data phase = 00000038 - transfer
              378345=> fpga_axilite_write_req in address phase = f000003c - tvalid
              378385=> fpga_axilite_write_req in address phase = f000003c - transfer
              378385=> fpga_axilite_write_req in data phase = 00000017 - tvalid
              378425=> fpga_axilite_write_req in data phase = 00000017 - transfer
              382505=> fpga_axilite_write_req in address phase = f0000040 - tvalid
              382545=> fpga_axilite_write_req in address phase = f0000040 - transfer
              382545=> fpga_axilite_write_req in data phase = fffffff7 - tvalid
              382585=> fpga_axilite_write_req in data phase = fffffff7 - transfer
              386665=> fpga_axilite_write_req in address phase = f0000044 - tvalid
              386705=> fpga_axilite_write_req in address phase = f0000044 - transfer
              386705=> fpga_axilite_write_req in data phase = fffffff6 - tvalid
              386745=> fpga_axilite_write_req in data phase = fffffff6 - transfer
              390825=> fpga_axilite_write_req in address phase = f0000048 - tvalid
              390865=> fpga_axilite_write_req in address phase = f0000048 - transfer
              390865=> fpga_axilite_write_req in data phase = 00000000 - tvalid
              390905=> fpga_axilite_write_req in data phase = 00000000 - transfer
              394985=> fpga_axilite_write_req in address phase = f0000010 - tvalid
              395025=> fpga_axilite_write_req in address phase = f0000010 - transfer
              395025=> fpga_axilite_write_req in data phase = 00000258 - tvalid
              395065=> fpga_axilite_write_req in data phase = 00000258 - transfer
              399105=> fpga_axilite_read_req in address req phase = 00000020 - tvalid
              399145=> fpga_axilite_read_req in address req phase = 00000020 - transfer
              399145=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              400105=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =00000004, fpga_is_as_tdata=00000000
              400105=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =00000000, fpga_is_as_tdata=00000000
              400105=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              400105=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              400105=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=00000000
              400105=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=00000000, soc_to_fpga_axilite_read_cpl_captured[27:0]=0000000
              400105=> test2_fpga_to_up_cfg_chk done
